"5月23日晚，浙江省温州市公安局鹿城分局发布通报，当日17时许,莲池辖区欣翔大厦发生持刀伤人事件，事件致包括嫌疑人在内的2人死亡5人受伤。"	人生,人生##死亡
"6月24日下午,济南市章丘区白云湖环卫所环卫清运工唐淑良被一对夫妻围住,夫妻俩拿着刚刚做好的锦旗,不断重复着感谢的话。"	交往,交往##感谢
"今年5月22日,24岁的余杭公安分局交警大队辅警姚晓琦在执勤时被撞牺牲。事后,肇事司机自述,开车时用微信聊天,低了下头,从而酿成大祸(本报及浙江24小时曾连续报道)。"	灾害/意外,灾害/意外##车祸,人生,人生##死亡
"李荣浩成功求婚杨丞琳！年少有为不将就，互相欣赏方为好的爱情""假如我年少有为不自卑，懂得什么是珍贵，那些美梦，没给你我一生有愧……"	人生,人生##求婚
"福建这份文件事关“三创”,专家学者热议点赞"	交往,交往##点赞
"美国网件（NETGEAR）作为当今打造智能家居和小型企业网络设备厂商，于2019年5月25日在深圳望海路海上世界文化艺术中心補时空间，发布全线WiFi6产品即RAX40、RAX80、RAX120、RAX200四款产品，重新布局WiFi市场，新路由器支持下一代Wi-Fi标准——802.11ax，新名称为“Wi-Fi6”，其可以更好地同时处理网络上的大量设备,这一点在现代充满智能小设备的家庭中变得越来越重要。与此同时美国网件宣布将打造HomeHeart智品优选系列产品——智能数字艺术画框Meural以及三频Mesh分布式高速路由器系统Orbi，布局全新无线智能家庭市场。"	产品行为,产品行为##发布
#张恒给郑爽写歌##女儿们的恋爱#第二季，在郑爽生日会当天，张恒给郑爽写了一首歌作生日惊喜	人生,人生##庆生
10岁男孩撞上卷帘门后，触电身亡！门上怎么会有电？！	人生,人生##死亡
10月13日下午1时许，柳州市柳北区天江城小区发生一起人员坠楼事件，一名13岁女孩疑从8楼坠落，不幸身亡。悲剧发生后，死者双亲瘫坐在地痛哭不止。	人生,人生##死亡
10月15日韩国女神级人物崔雪莉自杀的消息震惊了整个网络，随后有不少媒体爆料称雪莉自杀的原因疑似与网络暴力有关，早前她曾因不穿内衣拍照引来不少网友的吐槽，大家猜测雪莉是不是因为不堪忍受网络暴力才选择了自杀。	人生,人生##死亡
10月19日，中国汽车高端品牌EXEED星途旗下超智越级SUV——星途LX“炫·耀不同“西区上市发布会&超能挑战赛在重庆盛大启幕。	产品行为,产品行为##发布
10月21日报道美媒称，印度一所私立学校在上周的一次考试中让学生头戴纸箱——这样做是为了防止作弊。事情曝光后，这所学校对外致歉	交往,交往##道歉
10月28日是杜海涛32岁的生日，女友沈梦辰和快乐家族何炅、谢娜、李维嘉、吴昕纷纷发博为杜海涛庆生，真羡慕海涛有最美好的爱情和最真挚的友情。	人生,人生##庆生
10月31日，康佳正式发布康佳APHAEA未来屏系列产品。	产品行为,产品行为##发布
129元，小米发布无线充电宝青春版：双向18W快充+10W无线输出	产品行为,产品行为##发布
12月结婚！TVB人气小生娶“电台之花”：已开始派喜饼发请帖	人生,人生##结婚
18年缘分说散就散，歌手陈绮贞微博正式宣布和男友钟成虎分手	人生,人生##分手
